"LATITUDE","LONGITUDE","INTENS","SLOPE","ERROR","LOCATION","DATETIME","HOUR","MINUTE","SECOND","MINISECOND","PROVINCE","DISTRICT","COUNTRY","INPUTTIME","PROCESSFLAG","USEDIDS","CG_IC","HEIGHT"
"40.309","116.221","-6.354","-1.6","0.0","ThreeMIX","2015/6/16 22:21:39","22","21","39","9072673","北京市","北京市县","昌平区","2015/6/16 22:21:15","1","118,2,4","IC","0.000"
"40.649","117.332","109.276","16.3","138.3","FourOPT","2015/6/16 21:49:24","21","49","24","2743239","北京市","北京市县","密云县","2015/6/16 21:49:01","1","15,17,12,10","IC","13.481"
"40.199","116.298","8.173","2.2","0.0","TwoMIX","2015/6/16 22:07:02","22","7","2","6658488","北京市","北京市县","昌平区","2015/6/16 22:06:38","1","4,60","CG","0.000"
"39.477","116.429","46.865","5.9","210.8","FourOPT","2015/6/16 22:40:14","22","40","14","623385","北京市","北京市县","大兴区","2015/6/16 22:39:49","1","2,65,66,126","IC","5.247"
"40.510","116.040","15.537","2.1","0.0","ThreeMIX","2015/6/16 21:52:08","21","52","8","8553842","北京市","北京市县","延庆县","2015/6/16 21:51:47","1","4,60,113","CG","0.000"
"40.522","116.419","-14.764","-3.9","101.2","FourOPT","2015/6/16 23:23:18","23","23","18","6960658","北京市","北京市县","延庆县","2015/6/16 23:22:53","1","118,4,2,113,0","IC","3.319"
"39.611","116.419","23.646","4.1","102.2","FourOPT","2015/6/16 21:53:13","21","53","13","9713629","北京市","北京市县","大兴区","2015/6/16 21:52:47","1","0,118,117,113","IC","2.669"
"39.955","115.871","-12.102","-1.4","101.8","FourOPT","2015/6/16 21:13:45","21","13","45","9473767","北京市","北京市县","门头沟区","2015/6/16 21:13:20","1","2,118,4,1,117","IC","2.367"
"39.819","116.466","8.460","2.1","346.3","FourOPT","2015/6/16 22:30:11","22","30","11","9835481","北京市","北京市市区","北京市市区","2015/6/16 22:29:47","1","0,2,1,118,4","IC","4.278"
"39.906","116.053","-19.957","-2.8","291.0","FourOPT","2015/6/16 22:47:08","22","47","8","1178854","北京市","北京市县","门头沟区","2015/6/16 22:46:42","1","2,4,117,113","IC","4.396"
"40.130","116.678","21.515","8.1","0.0","TwoMIX","2015/6/16 22:17:08","22","17","8","6911748","北京市","北京市县","顺义县","2015/6/16 22:16:43","1","60,113","CG","0.000"
"40.219","117.078","-27.322","-7.8","0.0","ThreeMIX","2015/6/16 22:17:10","22","17","10","1088961","北京市","北京市县","平谷区","2015/6/16 22:16:45","1","118,4,119","CG","0.000"
"39.506","116.267","37.121","5.2","140.3","FourOPT","2015/6/16 22:02:39","22","2","39","9877833","北京市","北京市县","大兴区","2015/6/16 22:02:14","1","2,0,118,32,1","IC","3.801"
"39.974","116.566","32.147","8.4","179.4","FourOPT","2015/6/16 21:47:57","21","47","57","5628399","北京市","北京市市区","北京市市区","2015/6/16 21:47:32","1","1,4,60,117,113","IC","5.656"
"40.392","115.920","-21.108","-5.2","168.9","FourOPT","2015/6/16 17:39:03","17","39","3","6601500","北京市","北京市县","延庆县","2015/6/16 17:38:39","1","118,2,0,1,4","IC","2.127"
"40.436","115.941","-8.562","-3.1","0.0","TwoMIX","2015/6/16 17:46:25","17","46","25","9594906","北京市","北京市县","延庆县","2015/6/16 17:46:06","1","118,1","CG","0.000"
"40.574","115.895","-10.137","-11.8","101.2","FourOPT","2015/6/16 17:46:32","17","46","32","9614489","北京市","北京市县","延庆县","2015/6/16 17:46:10","1","118,4,1,0,60","IC","1.832"
